PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
10,Hire Autocad Experts,https://www.virtualemployee.com/lp/hire-autocad-experts/,Nilanjana,Nabil,10087,153,1.52%,4,0,0.00%,163,2,1.23%,1388,25,1.80%,1637,39,2.38%,2544,41,1.61%,765,13,1.70%,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,2,0.00%,0.00%,0,0.00%,,546,900.00%,1.65%,141,0.00%,0.00%,386,500.00%,1.30%,1532,1100.00%,0.72%,1143,1400.00%,1.22%,1290,1100.00%,0.85%,612,1300.00%,2.12%,245,500.00%,2.04%,0,0.00%,,5,2.04%,0,0,
11,Ppc Outsourcing Mobile,https://www.virtualemployee.com/ir/ppc-outsourcing-mobile/,Wasi,Sanjay,4501,124,2.75%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,276,600.00%,2.17%,1447,3100.00%,2.14%,1567,5200.00%,3.32%,386,900.00%,2.33%,418,1400.00%,3.35%,406,600.00%,1.48%,0,0.00%,,6,1.48%,0,0,
12,Outsource To India Vd H,https://www.virtualemployee.com/lp/outsource-to-india-vd-h/,Daya,Mukhteshwar,12945,332,2.56%,0,0,,0,0,,0,0,,67,0,0.00%,180,0,0.00%,35,0,0.00%,70,0,0.00%,71,0,0.00%,0,0,,52,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,2,0,0.00%,0,0,,1,0,0.00%,7,0,0.00%,105,3,2.86%,32,2,6.25%,0,0,,9,0,0.00%,2,0,0.00%,4,0,0.00%,1,0,0.00%,1,0,0.00%,6,0,0.00%,0,0,,8,0,0.00%,4,1,25.00%,6,0,0.00%,1,0,0.00%,2,0,0.00%,10,0,0.00%,394,18,4.57%,636,21,3.30%,798,2200.00%,2.76%,1105,3200.00%,2.90%,1629,2300.00%,1.41%,2239,7500.00%,3.35%,1301,3900.00%,3.00%,1218,3800.00%,3.12%,1079,2500.00%,2.32%,849,2400.00%,2.83%,906,700.00%,0.77%,154,100.00%,0.65%,0,0.00%,,1,0.65%,0,0,
13,Hire Web Developer from India,https://www.virtualemployee.com/lp/hire-web-developers-india/,Daya,Mohsin,5615,221,3.94%,1,0,0.00%,0,0,,2,0,0.00%,30,0,0.00%,254,0,0.00%,45,0,0.00%,81,0,0.00%,71,0,0.00%,0,0,,40,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,5,0,0.00%,7,0,0.00%,26,100.00%,3.85%,226,1100.00%,4.87%,436,1400.00%,3.21%,18,0.00%,0.00%,73,700.00%,9.59%,707,3600.00%,5.09%,907,5200.00%,5.73%,690,2300.00%,3.33%,560,1100.00%,1.96%,549,1700.00%,3.10%,465,1600.00%,3.44%,17,49418.60%,465,16,3.44%
14,hire-smm-experts,https://www.virtualemployee.com/service/hire-smm-experts/,Daya,Mukhteshwar,4965,147,2.96%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,1,1,100.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,58,200.00%,3.45%,195,300.00%,1.54%,22,100.00%,4.55%,155,400.00%,2.58%,568,1800.00%,3.17%,540,2000.00%,3.70%,429,2000.00%,4.66%,505,1800.00%,3.56%,516,700.00%,1.36%,986,2300.00%,2.33%,7,30042.92%,986,23,2.33%
15,Hire Digital Marketing Experts,https://www.virtualemployee.com/lp/hire-digital-marketing-experts-v1/,Daya,Nabil,8723,156,1.79%,11,0,0.00%,403,10,2.48%,877,20,2.28%,784,20,2.55%,1371,0,0.00%,456,0,0.00%,487,0,0.00%,350,0,0.00%,0,0,,178,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,1,100.00%,155,3,1.94%,4,0,0.00%,3,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,4,0,0.00%,1,0,0.00%,5,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,3,0,0.00%,1,0.00%,0.00%,222,600.00%,2.70%,572,1500.00%,2.62%,131,300.00%,2.29%,713,1800.00%,2.52%,545,1200.00%,2.20%,500,800.00%,1.60%,519,1200.00%,2.31%,448,800.00%,1.79%,579,1500.00%,2.59%,566,1000.00%,1.77%,15,84745.76%,566,10,1.77%
16,Virtual Assistants Mobile,https://www.virtualemployee.com/ir/virtual-assistants-mobile/,Wasi,Sanjay,2942,49,1.67%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,437,700.00%,1.60%,956,2100.00%,2.20%,775,800.00%,1.03%,395,500.00%,1.27%,375,400.00%,1.07%,0,0.00%,,4,1.07%,0,0,
17,Hire PPC Expert,https://www.virtualemployee.com/ir/hire-ppc-expert/,Wasi,Sanjay,7753,403,5.20%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,0,0.00%,1169,51,4.36%,1282,63,4.91%,1035,5800.00%,5.60%,441,1800.00%,4.08%,364,1400.00%,3.85%,73,200.00%,2.74%,384,1800.00%,4.69%,768,2700.00%,3.52%,677,4100.00%,6.06%,431,2000.00%,4.64%,399,1700.00%,4.26%,616,2300.00%,3.73%,43,1400.00%,32.56%,23,7063.88%,43,14,32.56%
18,Outsource to India,https://www.virtualemployee.com/lp/hire-outsource-to-india-mr/,Koyel,Nabil,2830,42,1.48%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,280,7,2.50%,875,11,1.26%,641,6,0.94%,473,8,1.69%,560,5,0.89%,0,0,,5,,0,0,
19,PPC Outsourcing (Mobile Version),https://www.virtualemployee.com/service/ppc-outsourcing/mobile.php/,Irfan,Mukhteshwar,3730,71,1.90%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,53,0.00%,0.00%,422,1000.00%,2.37%,520,300.00%,0.58%,735,1800.00%,2.45%,1000,1100.00%,1.10%,18,163636.36%,1000,11,1.10%
20,Hire Digital Marketing Expert,https://www.virtualemployee.com/lp/hire-digital-marketing-expert/,Daya,Nabil,4678,67,1.43%,4,0,0.00%,0,0,,1,0,0.00%,87,0,0.00%,694,0,0.00%,175,0,0.00%,387,0,0.00%,174,0,0.00%,0,0,,118,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,2,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0.00%,,1,0.00%,0.00%,2,0.00%,0.00%,5,0.00%,0.00%,17,0.00%,0.00%,406,1000.00%,2.46%,480,900.00%,1.88%,442,1400.00%,3.17%,339,400.00%,1.18%,416,600.00%,1.44%,549,900.00%,1.64%,6,36585.37%,549,9,1.64%
21,Hire Remote Staff(Mobile),https://www.virtualemployee.com/da/hire-remote-staff-mobile/,Koyel,Nabil,2537,57,2.25%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,0,0.00%,337,2,0.59%,436,11,2.52%,899,14,1.56%,340,2,0.59%,519,14,2.70%,0,0,,14,,0,0,
22,pay-per-click-experts-optimized,https://www.virtualemployee.com/lp/pay-per-click-experts-optimized/,Shaun,Mukhteshwar,3518,122,3.47%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,3,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,2,0,0.00%,1,0,0.00%,2,0,0.00%,2,0,0.00%,1,0,0.00%,6,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,2,0,0.00%,2,0,0.00%,0,0,,0,0,,1,0,0.00%,2,0,0.00%,3,0,0.00%,5,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,2,0,0.00%,1,0.00%,0.00%,0,0.00%,,4,0.00%,0.00%,3,0.00%,0.00%,6,0.00%,0.00%,4,0.00%,0.00%,29,0.00%,0.00%,289,1100.00%,3.81%,572,1700.00%,2.97%,652,1800.00%,2.76%,960,2900.00%,3.02%,18,59602.65%,960,29,3.02%
23,Hire Remote Staff v-1,https://www.virtualemployee.com/lp/hire-remote-staff-v1/,Daya,Nabil,5632,248,4.40%,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,24,0,0.00%,4,0,0.00%,20,0,0.00%,4,0,0.00%,1,0,0.00%,0,0,,4,0,0.00%,302,10,3.31%,347,15,4.32%,439,1600.00%,3.64%,408,1600.00%,3.92%,264,600.00%,2.27%,425,1800.00%,4.24%,560,1800.00%,3.21%,495,2200.00%,4.44%,416,2400.00%,5.77%,468,2200.00%,4.70%,390,2100.00%,5.38%,423,1700.00%,4.02%,314,1300.00%,4.14%,17,41062.80%,314,13,4.14%
24,Hire Freelancer India,https://www.virtualemployee.com/lp/hire-freelancer-india/,Wasi,Mohsin,2987,32,1.07%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,104,3,2.88%,30,1,3.33%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,1,0.00%,0.00%,0,0.00%,,1,0.00%,0.00%,0,0.00%,,521,500.00%,0.96%,513,400.00%,0.78%,377,400.00%,1.06%,389,300.00%,0.77%,309,200.00%,0.65%,371,400.00%,1.08%,2,18518.52%,371,4,1.08%
25,Hire Game Developer,https://www.virtualemployee.com/ir/hire-game-developers/,Irfan,Sanjay,3399,41,1.21%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0.00%,,1,0.00%,0.00%,0,0.00%,,2,0.00%,0.00%,4,0.00%,0.00%,423,800.00%,1.89%,416,600.00%,1.44%,280,400.00%,1.43%,312,300.00%,0.96%,125,100.00%,0.80%,917,900.00%,0.98%,1,10204.08%,917,9,0.98%
